District_Name,Area,Production
ANUGUL,720007,622219.2
BALANGIR,1872251,2047905.7
BALESHWAR,1463707,2080262.5
BARGARH,2361199,3938172.3
BOUDH,550656,556928.9
CUTTACK,1349348,2068288.8
DEOGARH,349158,337630.1
DHENKANAL,774462,1048906
GAJAPATI,321976,389759.7
GANJAM,2126176,2690376.3
JAGATSINGHAPUR,832269,1095936.6
JAJAPUR,1035244,1247037.9
JHARSUGUDA,344029,330153.2
KALAHANDI,1941421,2394944.5
KANDHAMAL,350138,362701.9
KENDRAPARA,1138246,1253401.8
KENDUJHAR,1243351,1383709.8
KHORDHA,815055,1016574.8
KORAPUT,1051768,2013974
MALKANGIRI,760658,716720.6
MAYURBHANJ,2078364,2340308.2
NABARANGPUR,1443499,2326787
NAYAGARH,844355,1352362.5
NUAPADA,782196,764986.6
PURI,1113332,1386537.3
RAYAGADA,565058,629424.6
SAMBALPUR,1066718,1418030.8
SONEPUR,1085461,1717125.1
SUNDARGARH,1568911,1452892
